date,gas
11/5/2007,3.013
11/12/2007,3.111
11/19/2007,3.099
11/26/2007,3.097
12/3/2007,3.061
12/10/2007,3
12/17/2007,2.998
12/24/2007,2.98
12/31/2007,3.053
1/7/2008,3.109
1/14/2008,3.068
1/21/2008,3.017
1/28/2008,2.977
2/4/2008,2.978
2/11/2008,2.96
2/18/2008,3.042
2/25/2008,3.13
3/3/2008,3.162
3/10/2008,3.225
3/17/2008,3.284
3/24/2008,3.259
3/31/2008,3.29
4/7/2008,3.332
4/14/2008,3.389
4/21/2008,3.508
4/28/2008,3.603
5/5/2008,3.613
5/12/2008,3.722
5/19/2008,3.791
5/26/2008,3.937
6/2/2008,3.976
6/9/2008,4.039
6/16/2008,4.082
6/23/2008,4.079
6/30/2008,4.095
7/7/2008,4.114
7/14/2008,4.113
7/21/2008,4.064
7/28/2008,3.955
8/4/2008,3.88
8/11/2008,3.809
8/18/2008,3.74
8/25/2008,3.685
9/1/2008,3.68
9/8/2008,3.648
9/15/2008,3.835
9/22/2008,3.718
9/29/2008,3.632
10/6/2008,3.484
10/13/2008,3.151
10/20/2008,2.914
10/27/2008,2.656
11/3/2008,2.4
11/10/2008,2.224
11/17/2008,2.072
11/24/2008,1.892
12/1/2008,1.811
12/8/2008,1.699
12/15/2008,1.659
12/22/2008,1.653
12/29/2008,1.613
1/5/2009,1.684
1/12/2009,1.784
1/19/2009,1.847
1/26/2009,1.838
2/2/2009,1.892
2/9/2009,1.926
2/16/2009,1.964
2/23/2009,1.909
3/2/2009,1.934
3/9/2009,1.941
3/16/2009,1.91
3/23/2009,1.962
3/30/2009,2.046
4/6/2009,2.037
4/13/2009,2.051
4/20/2009,2.059
4/27/2009,2.049
5/4/2009,2.078
5/11/2009,2.24
5/18/2009,2.309
5/25/2009,2.435
6/1/2009,2.524
6/8/2009,2.624
6/15/2009,2.672
6/22/2009,2.691
6/29/2009,2.642
7/6/2009,2.612
7/13/2009,2.528
7/20/2009,2.463
7/27/2009,2.503
8/3/2009,2.557
8/10/2009,2.647
8/17/2009,2.637
8/24/2009,2.628
8/31/2009,2.613
9/7/2009,2.588
9/14/2009,2.577
9/21/2009,2.552
9/28/2009,2.499
10/5/2009,2.468
10/12/2009,2.489
10/19/2009,2.574
10/26/2009,2.674
11/2/2009,2.694
11/9/2009,2.666
11/16/2009,2.629
11/23/2009,2.639
11/30/2009,2.629
12/7/2009,2.634
12/14/2009,2.599
12/21/2009,2.589
12/28/2009,2.607
1/4/2010,2.665
1/11/2010,2.751
1/18/2010,2.739
1/25/2010,2.705
2/1/2010,2.661
2/8/2010,2.652
2/15/2010,2.608
2/22/2010,2.655
3/1/2010,2.702
3/8/2010,2.751
3/15/2010,2.788
3/22/2010,2.819
3/29/2010,2.798
4/5/2010,2.826
4/12/2010,2.858
4/19/2010,2.86
4/26/2010,2.849
5/3/2010,2.898
5/10/2010,2.905
5/17/2010,2.864
5/24/2010,2.786
5/31/2010,2.728
6/7/2010,2.725
6/14/2010,2.701
6/21/2010,2.743
6/28/2010,2.757
7/5/2010,2.726
7/12/2010,2.718
7/19/2010,2.722
7/26/2010,2.749
8/2/2010,2.735
8/9/2010,2.783
8/16/2010,2.745
8/23/2010,2.704
8/30/2010,2.682
9/6/2010,2.682
9/13/2010,2.721
9/20/2010,2.723
9/27/2010,2.694
10/4/2010,2.732
10/11/2010,2.819
10/18/2010,2.834
10/25/2010,2.817
11/1/2010,2.806
11/8/2010,2.865
11/15/2010,2.892
11/22/2010,2.876
11/29/2010,2.856
12/6/2010,2.958
12/13/2010,2.98
12/20/2010,2.982
12/27/2010,3.052
1/3/2011,3.07
1/10/2011,3.089
1/17/2011,3.104
1/24/2011,3.11
1/31/2011,3.101
2/7/2011,3.132
2/14/2011,3.14
2/21/2011,3.189
2/28/2011,3.383
3/7/2011,3.52
3/14/2011,3.567
3/21/2011,3.562
3/28/2011,3.596
4/4/2011,3.684
4/11/2011,3.791
4/18/2011,3.844
4/25/2011,3.879
5/2/2011,3.963
5/9/2011,3.965
5/16/2011,3.96
5/23/2011,3.849
5/30/2011,3.794
6/6/2011,3.781
6/13/2011,3.713
6/20/2011,3.652
6/27/2011,3.574
7/4/2011,3.579
7/11/2011,3.641
7/18/2011,3.682
7/25/2011,3.699
8/1/2011,3.711
8/8/2011,3.674
8/15/2011,3.604
8/22/2011,3.581
8/29/2011,3.627
9/5/2011,3.674
9/12/2011,3.661
9/19/2011,3.601
9/26/2011,3.509
10/3/2011,3.433
10/10/2011,3.417
10/17/2011,3.476
10/24/2011,3.462
10/31/2011,3.452
11/7/2011,3.424
11/14/2011,3.436
11/21/2011,3.368
11/28/2011,3.307
12/5/2011,3.29
12/12/2011,3.286
12/19/2011,3.229
12/26/2011,3.258
1/2/2012,3.299
1/9/2012,3.382
1/16/2012,3.391
1/23/2012,3.389
1/30/2012,3.439
2/6/2012,3.482
2/13/2012,3.523
2/20/2012,3.591
2/27/2012,3.721
3/5/2012,3.793
3/12/2012,3.829
3/19/2012,3.867
3/26/2012,3.918
4/2/2012,3.941
4/9/2012,3.939
4/16/2012,3.922
4/23/2012,3.87
4/30/2012,3.83
5/7/2012,3.79
5/14/2012,3.754
5/21/2012,3.715
5/28/2012,3.67
6/4/2012,3.613
6/11/2012,3.572
6/18/2012,3.533
6/25/2012,3.437
7/2/2012,3.356
7/9/2012,3.411
7/16/2012,3.427
7/23/2012,3.494
7/30/2012,3.508
8/6/2012,3.645
8/13/2012,3.721
8/20/2012,3.744
8/27/2012,3.776
9/3/2012,3.843
9/10/2012,3.847
9/17/2012,3.878
9/24/2012,3.826
10/1/2012,3.804
10/8/2012,3.85
10/15/2012,3.819
10/22/2012,3.687
10/29/2012,3.568
11/5/2012,3.492
11/12/2012,3.449
11/19/2012,3.429
11/26/2012,3.437
